Record ID,Protocol_RID,Label,Caption,File_Name,File_URI,File_Bytes,File_MD5,Release_Date,Consortium,Record Creation Time,Record Modified Time
N-H9G6,N-H9E8,assembling3DMPSDevices - Bottom Piece 1,,N-H9E8_assembling3DMPSDevices-bottomPiece1.png,Source_Files/N-H9E8_assembling3DMPSDevices-bottomPiece1.png,282777,37bf2a3a1b90a8e41dff5d7ae55745c5,2017-06-06,RBK,2017-06-06T20:27:23.579385+00:00,2022-08-05T08:34:18.911952+00:00
N-H9G8,N-H9E8,assembling3DMPSDevices - Bottom Piece 2,,N-H9E8_assembling3DMPSDevices-bottomPiece2.png,Source_Files/N-H9E8_assembling3DMPSDevices-bottomPiece2.png,268599,59b901d23ad3b3686e18a60a2dfdd7e5,2017-06-06,RBK,2017-06-06T20:28:14.689507+00:00,2022-08-05T08:34:18.911952+00:00
N-H9GA,N-H9BP,Embedding 3D MPS Devices for Sectioning Figure1,,N-H9BP_Embedding_3D_MPS_Devices_for_Sectioning-figure1.png,Source_Files/N-H9BP_Embedding_3D_MPS_Devices_for_Sectioning-figure1.png,91160,14ca22c72e12d51138ab8d454450229e,2017-06-06,RBK,2017-06-06T21:51:50.637771+00:00,2022-08-05T08:34:18.911952+00:00
N-H9GC,N-H9BP,Embedding 3D MPS Devices for Sectioning Figure2,,N-H9BP_Embedding_3D_MPS_Devices_for_Sectioning-figure2.png,Source_Files/N-H9BP_Embedding_3D_MPS_Devices_for_Sectioning-figure2.png,32352,bf0161a2dde9097af0d33e0f471d163e,2017-06-06,RBK,2017-06-06T21:51:50.637771+00:00,2022-08-05T08:34:18.911952+00:00
N-H9GE,N-H9BP,Embedding 3D MPS Devices for Sectioning Figure3,,N-H9BP_Embedding_3D_MPS_Devices_for_Sectioning-figure3.png,Source_Files/N-H9BP_Embedding_3D_MPS_Devices_for_Sectioning-figure3.png,29000,1e07a45052b6110f183f4778f336a2ed,2017-06-06,RBK,2017-06-06T21:51:50.637771+00:00,2022-08-05T08:34:18.911952+00:00
N-H9GG,N-H9BP,Embedding 3D MPS Devices for Sectioning Figure4,,N-H9BP_Embedding_3D_MPS_Devices_for_Sectioning-figure4.png,Source_Files/N-H9BP_Embedding_3D_MPS_Devices_for_Sectioning-figure4.png,48517,adf86507ccac7acc1351243d7781e65c,2017-06-06,RBK,2017-06-06T21:51:50.637771+00:00,2022-08-05T08:34:18.911952+00:00
N-H9GJ,N-H9BP,Embedding 3D MPS Devices for Sectioning Figure5,,N-H9BP_Embedding_3D_MPS_Devices_for_Sectioning-figure5.png,Source_Files/N-H9BP_Embedding_3D_MPS_Devices_for_Sectioning-figure5.png,243331,751779ffa5acc029be2ee145662750fd,2017-06-06,RBK,2017-06-06T21:51:50.637771+00:00,2022-08-05T08:34:18.911952+00:00
N-H9GM,N-H9DJ,Probe Checker Screenshot 1,,N-H9DJ_Probe1.png,Source_Files/N-H9DJ_Probe1.png,138494,623b9577ca9b7c0778a7ac4655cbff76,2017-09-20,RBK,2017-09-20T20:34:08.140214+00:00,2018-05-25T03:51:34.687757+00:00
N-H9GP,N-H9DJ,Probe Checker Screenshot 2,,N-H9DJ_Probe2.png,Source_Files/N-H9DJ_Probe2.png,43784,4e3a654e1290068907407eefd604ac67,2017-09-20,RBK,2017-09-20T20:37:44.665543+00:00,2018-05-25T03:51:34.687757+00:00
N-H9GR,N-H9DG,Screenshot 1,,N-H9DG_Spreadsheet1.png,Source_Files/N-H9DG_Spreadsheet1.png,30358,aadb5ab7308f2c4a5c16bd331d77ce2d,2017-09-20,RBK,2017-09-20T20:41:55.982655+00:00,2018-05-25T03:51:34.687757+00:00
N-H9GT,N-H9DG,Screenshot 2,,N-H9DG_Spreadsheet2.png,Source_Files/N-H9DG_Spreadsheet2.png,11757,1336ddaf7ba5db1eacf41b1b12d6b8dc,2017-09-20,RBK,2017-09-20T20:42:34.54356+00:00,2018-05-25T03:51:34.687757+00:00
N-H9GW,N-H9DG,Screenshot 3,,N-H9DG_Spreadsheet3.png,Source_Files/N-H9DG_Spreadsheet3.png,14752,54f87f3f8f6c000f03c4c9f38d25dc58,2017-09-20,RBK,2017-09-20T20:43:32.930936+00:00,2018-05-25T03:51:34.687757+00:00
N-H9GY,N-H9DG,Screenshot 4,,N-H9DG_Spreadsheet4.png,Source_Files/N-H9DG_Spreadsheet4.png,19372,d0b489db6bd44c202485f8226b042142,2017-09-20,RBK,2017-09-20T20:44:06.403642+00:00,2018-05-25T03:51:34.687757+00:00
N-H9H0,N-H9DG,Screenshot 5,,N-H9DG_Spreadsheet5.png,Source_Files/N-H9DG_Spreadsheet5.png,26684,96eb6c2d71c5ffa6fb2d6b89e38d7ca7,2017-09-20,RBK,2017-09-20T20:44:35.721077+00:00,2018-05-25T03:51:34.687757+00:00
